2018-04-23 10:31:38	c78fe065617c86084829ed8eee3a752b:GsotlzlAioCtglYjatt5ANPvDDE2125q	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	1.200.202.115
2018-04-23 10:32:18	8067fe16200e6bdba146060d48e50a7d:qf4rCiijnTgWXbfkU7D0s7EcfXaI8652	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.15.232.64
2018-04-23 10:32:21	9b6dd2f1140e3a56e00323b99aee690d:57Z5YcABUeBvQK56WIOAnjNbCuJJ94Ub	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	39.12.67.178
2018-04-23 10:32:34	0960dc60d431db1a1da13804443c94e8:n1FKR0KIBa8PdOyMcwL46WDNt8zrEtxK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.216.146.101
2018-04-23 10:32:37	86f8f2de3bffceba01292d425bf1977b:SlsLc2VJediq0oZ9rGQKLdk0dFIn4Ohl	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	39.10.192.219
2018-04-23 10:32:40	e34377c4e691c311285ddd31e5fb2f7d:bB3dDdhPJsnxw9iT1knmyyrEeTgJKMry	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	223.140.84.105
2018-04-23 10:32:46	492aae713bd31009c18b5cec9caa3bc0:cVpY25DW0Pb2lFrTzaMnOA37nOPiKG27	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.228.141.208
2018-04-23 10:32:50	aaa2bcbc1279cb79a6a8407f3c7d60de:kUWIMbc0Eydt4WXnKqiMYxriUYoaLtDv	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-23 10:33:12	ba29e18cad115619e5ad40ea38b85c8a:lsxBXfCIv6dkXAa4DEIHCPT846DsdUfB	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	10.17.10.7
2018-04-23 10:33:14	895c56e967a4ace13daf84257b1a7a6a:GJLM5Syx56eZlsqCt5GI8cOATOqPhFJ0	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	180.217.85.73
2018-04-23 10:33:17	f740ab5b4d7ae551370fb215743e287d:R6o7FrWp6WxbQiRS905SMUZ3CmP38Jri	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	27.242.161.72
2018-04-23 10:34:14	e03cd359bc5ab34a19e93a4644704ace:80Eez6gIxrIckTQxy84odOzMRSC2Utrt	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	180.217.187.162
2018-04-23 10:34:16	4edd308deece69efc46be77add176788:uYoLEL4eVxVBWJuNyaTdWA9zk5SubbGc	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.90.37
2018-04-23 10:35:09	1f36f9e8bb82ef8963e807d9645caa2f:rrRpmc6zy7QV9RwXjXwxurkhlCOKrVK8	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	42.72.179.144
2018-04-23 10:35:14	47bc2f0216451ce728ec52967e0f393d:cAU4N2GwtiL4hkhFeYzLYOhTq0O8ccta	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	49.215.2.21
2018-04-23 10:36:01	0036ce571e4f2562707c97dec2137b9c:8GJE9SI742xCmO8oJbnikisVrWkCjkWS	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.52.201.239
2018-04-23 10:36:04	c5e70f0086031489b9c3c746f3ce09c8:pOSWxcCR2FFQyPxIhzfzuU0HIgwyIiSt	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.58.130
2018-04-23 10:36:05	0470ba311a50d0d3082c340d8e7d95f9:C23cA27mgKp0W5lPY4uB1PztYAVymC53	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,;	114.136.15.58
2018-04-23 10:37:54	279543272ef6222e4a5f9622dcaa9971:F4ERDMMLX3899uCloQiti9cpNv62wa0s	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,;	106.105.178.41
2018-04-23 10:40:06	e25f958e1374b05e5776b27077963962:nAtK9XDNP6ixCZFzwoB7ScAIsUDbdTuh	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:41:55	4c614fe80ad566987a1103e6d688c5c2:TNn1NzJIDEMaxOqG7tGrekHBCWb9PiMR	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	118.163.15.197
2018-04-23 10:43:22	ef070ec2d66c2237693e66bf3a72b068:xz3SvVL3xcDRAjPHs4tM6LdKEdHfWXdQ	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	36.228.141.208
2018-04-23 10:43:59	7c178a661d9ce97da1fb461e4f800f22:S9IxNn5eHh6Q45aJVH5aitNjIcvx8nMb	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:44:30	2c93cbc6d1c5cbe3e94231b080060b33:sqTfqLf752YJ4reTmGTARDIQ59UpQuNI	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.39
2018-04-23 10:45:12	4ad0c0428c67a0fda9788c8620532e0f:O7KbUfoqyjRwHIqguhylEq3rYScOUDeQ	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.66
2018-04-23 10:46:10	7aa4f651141627ce1f09105234c880ad:zRpMn3aRIgg3pGzQoRc2tRCRkm0d9CYU	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	36.228.141.208
