2018-04-26 10:02:40	680be82914c28421167e749d75f7b5fa:2lcnHmFqNiMvqdmyC0c0rGfkiDuHRWK9	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:03:46	fed5c0b3861ae6951ba03dac773b9bb8:yBN034E0gbuOJjYOq6tAks9rOKq0Mvfm	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:04:48	bc0036cc5af018ffc5df7d8212d3d92c:hsFtAoZANDlW9WuEUha9LLP13PmDqogz	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:06:05	5dbd8bce81acda734b648a10f3b5bccd:9lwTQxBiiER0DPTGNtWJLcI140WgjLAv	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:06:58	7396dda80328e93e5b5c0429369beef5:wQn2ZCHSlGDCRSGGtGA6t2Es0d3pMChK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 10:07:08	bcbdc5b345d42eea40abbdab4be38add:Y1fGMuGyIZY4my01BJBChmJHjRtT4mNl	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.15.6.72
2018-04-26 10:07:09	34b82fd6a2000903d75497e4d5647689:4nq5K1dytmVQjxZJfZMf14mvAaojWc48	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:08:08	a25a056ca36a6f3a015031fbd04a1224:BwqETHZUXMa44buKbxIgHpUac5HGsoTF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:09:17	8ee0bc1c02af815601172f533d2c1895:prQ2N6jTgap5sGeD51aofxYWo5cl0DrC	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:10:43	e9b65a13bbb9e32811dd109f9b80219a:Kj4Hb4B9mcinCAneYuUFLZULugXyFTRj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
2018-04-26 10:11:08	b50c0dd875d006f6b968709f7f1ccb95:2Q8IKoxN90XUa3GpurrS5d80whWvxXCG	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	111.71.17.134
2018-04-26 10:12:01	8403a990f41e5d3fcda7dde3d66cb589:0DtDURKUuCVU5VLh3VvOsIPvQn9fJOSD	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.29.177.189
