2018-04-23 11:17:02	65396db6fecbce85f087aea4ca073246:BTeBGRw7yIlkUrqsfr06P8CJXUfF0824	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.181
2018-04-23 11:17:49	995ab9cfab3cabad09d71aea94714d93:BdD7yUUAb7H9QRGKS2HrNg1MY5ur80sg	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 11:18:40	b059e5c66e38ae6a1c4b62d555479a49:3Yqb0Tn6geszWyyHS4223GCWrQ0CE1D1	Q1:人化交通，樂活中正	,住好住滿	,;	172.29.8.226
2018-04-23 11:18:40	f28a38526387fe700282cbb95cc90b2e:Ug6IG744af1LfsuNnYxS9qx7fr84Zxj6	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 11:19:36	d23ea14d7f9101628faea4a0651a0b40:uCaXFF4s5lbclMb535a7Jy1qhXDqwiRV	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 11:20:30	e9ea070cd23999e8646e7234dead348c:hYNRGYzvCJIekgF2XxkR3mghvL26QnBG	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 11:22:11	d5211ac8a9cf98d0dd56a92dafedbc30:2CgaxqTD1jY66jAkhdL5uUqtzhpOfBlD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-23 11:22:23	7480a933486c84f26cb5532513ee70ca:m0u6jAKLY9yin04EPCZhdhW6nurVkePL	Q1:百年觀光新店溪河道再造	,住好住滿	,;	111.71.36.19
2018-04-23 11:26:10	cb3f0901adb2adbc51d840d9d37a6b1c:BSFTRMFdc8pdV8dSuSEF7bgYupZuzlKJ	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
2018-04-23 11:26:58	2ac145beca926877e13062ccd1e97b71:oCLDAoi3LMdfqArlvP6gU8bXEDocGtRo	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	172.29.8.223
