2017-07-08 11:32:33	38b9713ea76adc6bb04d97e59ed15e69:RW0C0xdsecPcvP746qUL6QiCILrFXOIP	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:33:24	36e9a32131d9f5e01fd3002f693b42e9:dBTS62sfgXmodaQenBgVBrbqXUX9V5RS	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:34:14	527fb59e9e6591c8d582244ba88c589b:kfUGvwpGdfvdvb7JsnVHO5bpE91lMO21	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:35:08	7b15e42ba957abbca96697e04f689c2a:2EC67dFs9T9slRazipay0sz4Km8mYiPD	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:35:58	b4a14e7b01e3fca8fb3d39680766c7ea:rDkGGMkAAH4DdxNHW4GWkIN7XNnNu9AG	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:36:45	57e81a6ca6a4c1322f57568e998d26e6:g0jgYFfKOSXNiI56MC7LBhOrRbFDDrFV	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:38:47	a71c8476ed2fb24de1949f1377a60417:35t4asRoS2UHEyWavN03Q0bNQcJG70Ab	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:39:37	46b0bccc369c30e5e5157f2ec529f0fb:3enRRBZq57edhxNg2qfN98gVud9ggtX1	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:40:36	1c1cae9ecfedd461463da1edd88feb9b:vV0Is8e0Jy6hHfrJ8wBFqggK8RDqIbHO	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:41:27	819ee5ba2f916b4cb8a1fc89f9563ed4:fpoH1SGwe91KGYzcEfA5l7hhS8BLqtMO	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:43:13	8ff4269ca17e3339a29cfccd2de4c350:TJfClogKfi0NmLUQPuoMyDgG2pLXWFMb	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:44:52	5fd6235a79aeba2bf20267e1b1665f53:DWVnxW0oSpQzAgXQhK8UfoHTw7HKyqvv	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:47:41	b315e83f37f0aee9bcf7725a93522a4d:3nQq1Q2FzdTUopXHEyfOIQb0biUZ5fUu	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:49:12	1b5a1c52df1d3436ecbb40f32e9054d2:74J3NYaqUhyKUpszX1pTlHKI0h0FSzfj	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 11:49:30	aeac6cee23c3e338374bc82e300a2a9c:htcZ8dQyMx9iNTvwITvvM9B3HtktWyGy	Q1:信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,;	223.136.133.119
2017-07-08 11:51:36	f8c7384fb87dc3e39e92fbaf1918fc38:CS81OzOEHQWtwad2pBmG10xuXQ6sSMzO	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	61.228.184.9
2017-07-08 11:52:11	c34cb7b6c5080278d51a9fd3e962a791:BqL4f3Q2cy2RgVR5pe5P23EHXb2Q8ZfB	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	223.140.184.108
2017-07-08 11:54:22	e911f7f14b30aa4ac5958866603b5fba:W8nptjhgl6QbfgF37b2q6aZ8dKuggNDu	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,象山好行,;	223.140.184.108
2017-07-08 12:03:05	aed63970b7bdcf43fd700c8697b6cf4e:RLz4fglkAhOSraECGxqK5ZXQt4xfqEvp	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 12:03:58	1b45b4e3b151a5714c58a3f92d72d2d0:JyQA3SvjoIOPMiwl2mq4cXkrSM5Lq1AN	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 12:05:14	fcb85053f4546b1e7f290d88648dc9dc:MmbB63Z1o1kwYBf7Y1qUs60HjHIDsTYP	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 12:06:11	b865efc15d2df826c23cc7fbbefb2172:qvqMMQKRBchZ3Z4dIPhw11OhKiCHpvyD	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 12:07:10	c4a9075f9787d133fea547f813a4a5b9:LJg2cEIOuwbJc41n16ddaF0KraabrKiZ	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山心入口,;	36.225.37.145
2017-07-08 12:49:57	e522a4c2f8ba972ec092153ee752ef1a:501IrRkGMIMsXJCK9to7ssC1AOzAA8RT	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	180.217.191.74
2017-07-08 12:53:12	65f68a6bb96e272b7deefae713c30578:zMVwGlfS7VbTY5WVtr9TzUXfFCqhm2Hl	Q1:信義區方便計畫,信義區四育區民活動中心,提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山心入口,;	223.136.108.6
2017-07-08 13:16:40	d15f03a90f30f2fda3adbac9039e3c5f:CGmvHHMlpFTP7SCrfZci1Bnxn6H495oW	Q1:信義區方便計畫,提倡綠能香格里拉作伙來!,東大排新綠徑,象山好行,;	172.29.120.140
2017-07-08 13:24:29	6519a1fbdb816ce705b6ab966625dc89:3MBCmPajoyds673tu8g1QRn7PdROVyMZ	Q1:提倡綠能香格里拉作伙來!,友善樂活社區─公園再造計畫,東大排新綠徑,象山好行,;	172.29.120.140
2017-07-08 13:34:29	7eecd0f29517ca17b22f34ff123baa3d:Fdtcgjdppq3IjGIkN8bRj8TgY2eX88M6	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,東大排新綠徑,象山好行,;	115.82.178.246
2017-07-08 13:40:58	99a8ad639409a3c9876db4b3d9e28cbb:6WTSd8HNf9R2NEosYICWgAQtgzX5mfGR	Q1:信義區方便計畫,信義區四育區民活動中心,友善樂活社區─公園再造計畫,象山好行,;	172.29.120.140
