2018-04-24 10:49:03	a96d179a82fe6e07847b29467af07be8:OR90VXMnb0DwwXUCQHm57WXbF49CSAIM	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	180.217.131.58
2018-04-24 10:49:32	58afb92222de2f6f57d78c81fa28f674:wWbfg0Ghf66PdEggkZwJOuEpr61mZeJH	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.41
2018-04-24 10:50:26	c75a030e1dd6db4d05a17a09080d6e96:r0IJkCBPHH05MgBNxU2RI0L5twqtcM5Q	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 10:50:36	b84d1caba89a37ec46d351fb726a3422:rlsOCtcKfPmWDxbABQY2ndjhsxY2jlnE	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-24 10:50:53	72f420b66e3b312006220e0c322ffd99:ItgJv9kdobyA2xbXVQrlbDImg1njWzN5	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	106.105.178.40
2018-04-24 10:58:23	98d6b8dc7d7f63147f3b0ad41557c7bb:in9XJ6yakSH3OvlGEUVKJXlCqxZ56agD	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,;	27.246.136.33
2018-04-24 11:01:34	f914ca4ee77f3b813708c250c2cb5dc7:SGQHym9MqWGlIqRWENShda1jT9lYCZHJ	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-24 11:02:05	b7ac52ba0025b3b9342a4b39b9772aa1:aW36zP3FeNvk3Sry4pwJ7RbCMqd21e6i	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	111.71.216.37
2018-04-24 11:04:09	0ccfccef405278c93ee98eff4c65e5f0:9fJkjmxikknSVLPpjU3MODVD9cVjW3TD	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	111.71.216.37
2018-04-24 11:06:59	9443a24be06a43a8a6e5e368f6203233:yyunFvpejpumUXiukqyHuH9qt1xN0wz7	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.136.160.182
2018-04-24 11:07:51	349353d34851ade93acb585b5bbb0d3a:3sh7UBVUlBcdOIfq7OIPFFEnbXOnnUAl	Q1:週美里河堤彩繪	,給康寧樓梯新面貌	,;	180.204.71.195
2018-04-24 11:07:59	f0c3dc18bd9f679e9475769f137f2176:X4kpSOWv4q7GklwIvPvRlhnCaESNlTgI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	106.105.178.40
2018-04-24 11:08:43	4c0d917bd4652f01e3af1ae7b3535c41:SFv3jBkqPP8uUVC8owJZcQFndAX215xA	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-24 11:09:52	d98b1036d4bdab0819ecdb6198fdf5ca:OFrmTlcCzo40tqXhtxyTP9ZYaCDMEGIi	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	36.228.141.208
