2018-04-26 10:48:08	67550ecd3288a80713d8d7b391a2879a:CItTbHhKZKFVVeCqlfXjGi0jNTVjFcZi	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	101.139.137.87
2018-04-26 10:48:18	73d6a32974dc53202a1d347fda51fb5c:c8ULVsrwFyOusWsmWzCKzSgdcSLtVtyS	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	42.78.155.240
2018-04-26 10:50:57	397ab77f990af61903a81737b6ecb6ad:QqE9IMRXskE4cNTEnM6JtuP2cjrGRwdg	Q1:百年觀光新店溪河道再造	,住好住滿	,;	111.71.85.145
2018-04-26 10:51:35	5e76021504ca7867ab7f6380b09d1ba9:y7u39KULaDOsYVoToq4srE5ysTTbJUwK	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	111.71.107.204
2018-04-26 10:53:13	07f6920606d38da448019227c78637e5:igEk2Iv7a4YiU0vCDO3iMGWZNgMcvd0Z	Q1:友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.85.145
2018-04-26 10:53:19	788045d0e91382083793755191191a82:TCJsGKDljIceHren7AcYz33NOsdAih8U	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	163.21.235.243
2018-04-26 10:57:06	1a91d25b360ccaaa7d30186bac2ce7cd:9HcfU0oELux9FGUQDdCDMphTW0jOZiSd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	223.140.205.83
2018-04-26 10:59:27	ac4432e029034f46dae39a58a3b38490:Xjsbuswc0LsqKnY3rTIrRo1ZHbZtjciN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
2018-04-26 11:01:13	be2bf6231b51fae4557b5c38a4ee9dfb:uinnz0hfWQ4ghz0aVLcaR3rfNESj9y7x	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	180.217.128.56
2018-04-26 11:01:34	0d5259642cfa1b784ba8e355ad8989c9:u2N64ELSJ5yr08PIkaZ7q454pUXgb018	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	111.71.85.145
2018-04-26 11:02:03	21933b3de7305e88644571a93a04a8ad:7sGrhoUS5ABjCcaMn804Qz7q46qhBCn2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.184
