2018-04-20 08:52:34	b69b22a4663f2c46635d1cb73d828826:55QQCr8BD3qRXeLYV4TPCCowJosbJ0Aa	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	10.254.248.188
2018-04-20 08:53:01	b66937e945281deb12d8bc901e02178c:rrtc3ZyDOJ1hgKEz93gytjcSzlbGZ45K	Q1:呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.78.67
2018-04-20 08:53:42	0d32d3a58e4b1f1c5ef7a8c9f1050e0f:yM5rNVv1tgU68vdeRDKmZqFNIthyK3t2	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.1.119
2018-04-20 08:54:06	4f13160673e5a08ca0492a8998f97396:7LOC9CfIFUYfeuVCRQECqMY9fJVN5Jdf	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
2018-04-20 08:54:11	d54f08c0d0b7671a27274047827538d4:FyzXfp2XsTXhwPRcBFkyyw0n8jGwzhXo	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:55:01	c7cff0ec77091298f7313d87a4181a4b:D6vC4FWEdyJaPz4lRAIdTTGDkH0ecrC9	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,興隆市場增掛電梯以便民案	,;	223.136.23.94
2018-04-20 08:55:06	342de06dfb1dfa7316e7174c8c303299:ysRvFIgOAHLumtMg9uHuOcoNRoyoJYQ9	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.147.132
2018-04-20 08:55:10	98fcad1501fe777dac09c04a3d370f96:YvVhDpQQBJEODmesZ12avwsdBqocFsOu	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,;	101.138.148.174
2018-04-20 08:55:13	c418dc318d59704ba11656ec1a914c9b:8P9A9EV8yhkQakPRxPEsGui74Rb75xII	Q1:綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.140.78.67
2018-04-20 08:55:39	bc2a2c5d4c3915f77c76323786b96055:R2mZej1Yvc4jccjSnoJUll1TEksOXVYr	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	172.29.145.154
