2018-04-26 09:53:29	1d418b032cfa58086d8b5ce63f012b89:rHQCMlZv1HtYINYY6tokgMdHRAcPSbVb	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 09:55:43	06f137c05350289a8777f67ab45a7286:aV0S3F12R495SK0EttOst4yBig7cLWY0	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	223.140.142.88
2018-04-26 09:55:44	7413cdb2d1f87162ab60af432505b757:KDGoElOuUfFNZV3W1d2KrD73iCc5E4hi	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,;	172.28.52.104
2018-04-26 09:56:31	5e57c0890ef7af6ef5ce2c7f98425f21:fae4l1AgFEq7y05Z4UBLVUBEH5fES81g	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	39.12.68.59
2018-04-26 09:56:34	b01ef9dbc5566a90bcc315a10f8a7441:E9myLDW2bdIP7sBZ4cunwQrakDMm2Edl	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.214.231.205
2018-04-26 09:57:29	3eb21fae51554329a1555b87543de84c:7p6waINtEatj98IgUOImrsjoJPsCqDMY	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:58:19	7ae3fb875c1388650026794e1a35ea7b:9jr3rkrYUThp7a381mVfZ4etQ7ooX9O2	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-26 09:58:27	346f1118640962d4bd9ac60d97915807:5dEV3xzAtfJhGQMEvTLI57zsmoOMIOXT	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 09:59:36	30e997e5bf609295c57bb29f36416179:JKMcDD9vvCh7UCiODMD3BEvn8bfg268G	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:00:48	3611cdc4bc2a1725991f826115eb7f4d:eDXiG4GMw6a8690fIk6LMBDFTwUthQQC	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:01:48	489df3bd39b6a438c2a286bbd6717d0d:wvPbbbK2k9Q72in85PnCTCtgjU5E990t	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:02:10	f5e8c77333b03ee3e6d35a84e938a191:4w7aJ7aHocj2KDa2B5nuWqhfoWtEU058	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-26 10:03:01	3bf7a89509bcf42bb1c7ce9dc30181cc:XRysAXX0JlStpclh8KZe7oVPchDPTZLg	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:03:26	a81c7c97ee112c52da68e04788bf0351:3Pua45EI1Ddyp275sib3whDz8YCcHmKF	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-26 10:04:32	e4c978f82c5ec37e2b052b060a711363:TXwjGipt54ErKY2VNtY8dVhNgWP01nJO	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	49.217.149.242
2018-04-26 10:04:52	6403805c220e082e3ed571da9b9acbac:L72qG4usvbwGBkwu75TePuipP2i867Nf	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:08:05	baebbdce9a235ae7dda4bb4c3de58a59:4czA7MlKnoD3nrIdgeO40afJpqTSXxVQ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-26 10:10:13	5c651d872b94beb0b2c69329f7baf569:LO6kRIBpIPxrp8VZnVVsHxIdhYaA4MRF	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:11:34	0ab46ee917e49b7ba3a2bbdb009d9ce9:xVTOXV9eX4DHuTW8ofI3sE9DXTXVEIyS	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:12:36	d644eb8a6d3674826d06369eedb03087:6NB7te3eiMtT6q2Wr1K21pef0O0nS06Q	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:12:53	db00ec1edf18ab510554d609e37a5119:DY1ipIxt4Gm1ok07pYzHUjsOsEwEttoT	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.137.30.72
2018-04-26 10:14:12	7824726006f9d8376a060ccffe15a0ee:MAkoo3hQMFikd7HiuFqqYY0YhZDulEIB	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
2018-04-26 10:15:27	cf4feeb2dcbb827086a34e80f481a0aa:G5z2eB00BXFJ5efaHXWUvVUzh3QMFa97	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.193
