2018-04-30 09:53:31	3bd3f7693849e956fad65d4df03a8ff7:C1VB5OFkCsQvyag02FrkuZgNFGgxmywL	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:53:47	d19e189b600ed856654143972b9d9f85:LHlmEcvwZBuETR8LHPvEjiebYpXO8fRn	Q1:信義後花園-松隆映像	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:54:02	07f60cfbfadaff22971ab0332fa182f2:zRbP2Ao2X0L5Qq23vOzsJ18RHyUuVFfA	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:54:06	f8d5700dcda0d1f53c6621574b535faf:spT5sJOKyfYA9HScG3AIkJNuBeOYIbt3	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:54:47	f3d969168de51d25f8325321f30f4b16:x4x9nm5lvBK8mXHejxx0rTcTn89p6Z25	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:54:52	8ff9d854aa1fcfc3e6b0fde1038a7ed4:rfA3XuRDWF3jFGyyZfDV2uGSTgxwq0U3	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:55:08	65a51bc5a5ed870ff0e46411464bef24:SWRYTjhmhVPucdOJ7dZDJkBfe1OPqcMe	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.81
2018-04-30 09:55:25	03e8b687f7ac5bda4fb1ba3f2a5ae223:YeBLwDch0PGFs5oY25aMTHajsrV0lQGp	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.28.48.164
2018-04-30 09:55:32	00b74adc72a845762755d394dc4f519c:xKzMTSBUyfUiLX1DOzAIgmfctyEfikxm	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:55:39	1522d100a58b19014ed7d4e5d66b9401:rC8NJCM9GtVRiqUHOiXiBxr6mnjbxi6j	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:56:52	867ac1be18adcf9b6ae57c5ca2a94152:s8nGsLG8b5BuBBADC4CIRZPEixRRXN7c	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:57:31	c20c1aca391d956a114745489166a0a6:QDh85MaUqCeXFYadpDXD1k9k1eTz28Me	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.81
2018-04-30 09:57:37	db18915cdf3a1f760ccdca0dcbc3b32b:xYOTDzMr1lrKWvxE4xpzdxa6DA4FPJ1J	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:57:51	2ca77e9544b1c8fc02063655b13b4285:px0KZ1MCCAzYxXDKczb8gTWEQgCSPu6O	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.69
2018-04-30 09:57:54	4f348ba67ef2c6ee07ac80349eaf7841:kbGVNYkAGHx8CMMO11RP0vIA14AQvDlm	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	172.29.120.140
2018-04-30 09:58:02	42f9ad3747921cad1e572d1d47ad07a6:AmBL6A3lURRbmCclc5esavwMef4jYL7t	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:58:13	8536352b52866401478d68b6b77a4180:d7WGgyYxFiesQQgt4xzKjKKDSQyYnZzo	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:58:46	89693e91362353259c1cf5bde96e0b74:1WfmqkU6CAd1umAMUYC16TnOIeyST6bR	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
2018-04-30 09:58:50	4cb99802927e36680676f3efa560b487:vR8lbsjuaslgZvKu1TjdopT62dRDGNPM	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	10.5.2.30
2018-04-30 09:58:55	f79fd8e4129a4fdf28789608abcfda6b:cER6A4AQTLLSnorIGDMV5adrYWY0p66Z	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.82
2018-04-30 09:59:36	94f6d266372d86a33544d400a952e415:iEMGtSx2yFj9FdDJWnW9RzeJxMtSChKY	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.29.121.80
