2018-04-27 02:21:56	8ddee4360d92accd488da78dc2682709:H9ketqkQwTYP9YTfAoepZyW71ByqWXfK	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	101.12.192.140
2018-04-27 10:54:52	046da0aa75fff0c97765f8aa8a6e9916:2Yf4YfZd4QNphGsoasagw39CayNrky9f	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	111.71.110.185
2018-04-27 10:55:21	35cf9f4bbc007dc60c379287aa9255ab:D812CEmawF5KKCSqdJphiMvcZcEVKqTl	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	110.26.134.244
2018-04-27 10:57:43	05e1b627b8ed83fdc3e6060c8783a665:U9pyNT7I60MPclFtSR1x5R239aertZSO	Q1:再見泥土，妳好牆	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	111.71.110.185
2018-04-27 10:59:55	02951aeb539cb76e3fe280d5bc23b738:VIE1ta1J8weMUqprwTYeVXa1QZdMzESW	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	39.8.65.92
2018-04-27 11:06:39	56bf5d1891b4ffa8490c95fd052c560e:CB9y9oZmPYITEvvda9k74pNP6ba11NWv	Q1:給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	223.137.187.0
2018-04-27 11:11:33	f8521fe1fa20f49dcfa6064fb36ac2f6:USFqgU1ScuXalLVLrlgktKXppMa7fFIB	Q1:再見泥土，妳好牆	,湖光市場周邊環境改善	,;	106.105.178.44
2018-04-27 11:13:24	5e4ac8bcd622536befb5c75f76730987:GuWsyLi5l2P4onD7ETGSZpJMTz0W58YI	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	203.70.214.239
2018-04-27 11:26:03	ad73c0cc39612e54704839af49f8c0b3:S5ekWgB8vKxTHmOvO2XuJaZy6PtySUSm	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,給康寧樓梯新面貌	,湖光市場周邊環境改善	,;	172.28.32.120
2018-04-27 11:34:25	ed977c2970bde454a7870cd67d69f5c5:yRZ2o3kMyVtIgJJmfoNfLoJFyldcu4rV	Q1:再見泥土，妳好牆	,週美里河堤彩繪	,湖光市場周邊環境改善	,;	60.250.34.235
2018-04-27 11:53:05	bf31a0a3603cede9ad360c1dc3791b9d:yEre3qpZ7SFlAT1aSG1cefknqPgUosUd	Q1:週美里河堤彩繪	,湖光市場周邊環境改善	,;	106.105.178.40
