2018-04-22 01:02:03	58cd6f3bbe4c89e87db8601f870b5634:nO8pPAWMDCslg4BfaxnP5BoxslAGKoln	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 01:02:36	c7365d01002bf0672a4b45835b8cbfdb:vNQn9UKofllIaO7YflBMjdTmcj9jL78t	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 01:03:07	7f8820b426bd7b3d7d0a4ce0e10318fb:j7661L3N0GQYlhGb3RESpXtDrv76ObDc	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	58.115.133.176
2018-04-22 01:03:41	bd51c3e8e5cda91102300c1b6ad98338:1nOghbyK570my6shpzZ6Juo18fE0i4SD	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 01:31:59	433382efaf4517ab3e6feb2355cc7313:wnX7OOswKbuCPDYiqQX1cuhmH27S7kiQ	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 01:32:40	2749c5f9a16e8e3f30a3c6f23581b835:EgyyWPVHBE74VTYolCZcGdIj128jugMO	Q1:百年觀光新店溪河道再造	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 01:33:17	16a94c744be80bec89594ad9d9b82993:uF8kuhrqjFQEtbHKkr9MwGeYCYQ7AHTP	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 01:33:54	1b643669d38579d30d28c7cfee4cc6f6:5DP1IJFbliOqJXyiLpqKr89piCqArRSt	Q1:人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,;	58.115.133.176
2018-04-22 01:34:29	10cde2b79b23b68214c1333c715a7ed2:oFMgxCVFLFX84JLKsAm70ezANQmdyuMY	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
2018-04-22 01:35:07	49bdd30e8889cc83ddd9173b76776cdb:bZHusvw6G5RED6kIpVxx3MFGFZ2G1Xzd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,;	58.115.133.176
