2018-04-23 10:13:06	bb166dbc5f9e810f43e8bbdfb0e47fd5:KfNLStyi8lPxYma0jo5Gkfh8LUeJWs2P	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.198
2018-04-23 10:15:16	20aaa5f4311ebf005a906aa42003cba7:DS66G6lRw2JHR9d8nde4zB52zhrAF0XX	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-23 10:15:45	1035331e296ab07dbb2c55d7c35f345f:rSeGva6HaQFt7ihiFyBJTva4sar8ok7s	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.181
2018-04-23 10:16:41	bb31156e00ed2e3b213270c8d350641f:9nhZjdmJwhjRzHYWnRMjDwCQGmfvTi0u	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.42.239
2018-04-23 10:16:57	c52f19a16afaef9c5ebe9ad34ad7c1aa:ANCYjJyOpkBqtohaDLE469aUWygPTIZW	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-23 10:16:58	43c438675b3da80f193144eba7129d5c:AIL2y3WS4QHCKPmRmnHj1OgJKC8DGadF	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-23 10:17:55	27c14dc21ddcb0cd75f823c51041fc57:w7aJaN8vlU0jVPQT5osDIXvBZ5KqgWiw	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	110.26.202.134
2018-04-23 10:18:11	5082fbc23b2806b3feef2e3f5f4278b0:PanAovaA4yjQNA4Bny3CpYj7qMZchYBx	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 10:18:17	44c51ca751915770de6e8e783535ba42:wYfLKMZr37HLDpl68BZYjC22LiEMHIlU	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.181
2018-04-23 10:18:28	346fb9e91a1807b4178758d0d395b4ce:TNz5JPVyRNizzieu6KzXtVi96CjNLk6b	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.198
2018-04-23 10:19:32	df26e8a83f3b52e80acf962b4ec0af0f:Ani9yi8F7bevxQMMiInJ83o4byHdbcxQ	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.209
2018-04-23 10:19:39	681a672d249504d65d535852c7d0e606:iCwdiil1aZ0Qcrgyh5wA67uh8k7j6Kfx	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.42.239
2018-04-23 10:19:44	aa39832a6b0e9b3e2f18d72d8812ddb5:3xJB5Jv9dGSn4oDG5U7FXUhzDmlJVSip	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-23 10:20:43	64723863306903a0c2c3765e3a4c3ee6:4bd9KZUniSSGM80ARPP1zNFIINY0qeGo	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.198
2018-04-23 10:21:00	0cd4173a92dc7debe37d8c3216937244:87QW08rnpVeYbvaQG7qPUaMo7NMaWErB	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-23 10:21:19	6e34408afdff31fe92b745b4cde1b87d:u8lw0fPWXjIqHeOPGlJSTCOWE3V1Iysj	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-23 10:21:40	e2600b21775074b7218094e29c99700a:60aAtcPiZ2u3jyOhnCUyNQ4npowt04HV	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 10:21:50	b0ecbc0eb30d43e94b3d815c5347a09b:WrUvINDmi6nuF0xeaT2wG0eqzX8oAgHd	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	114.136.42.239
2018-04-23 10:22:35	8b4b4ea0eea88461d7792065429bbdbc:qnZ4XIZ8JBGHVfPRGsF4BZFiRPfPD9jl	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.198
2018-04-23 10:23:18	3771fec81708643c49395bcb576e7451:T9EDBTji01fqRrfDHOB7j8s9BoDfr15m	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.180
2018-04-23 10:23:39	f187f8431c3bd581ac511536815c0318:78AA4nauzXNl6CVA126f6gy7rs3HbFZs	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-23 10:25:37	0e303fae33e78495140f23210430ee0a:gWhGtWeaa73VfeY0mytVfGyjDci3Ux4q	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-23 10:26:43	20f3a7e8e3a98c9ba2ba6ff9f058a6bf:W8NBIL4SajfQR08aXz7qFdpeQObrDBV5	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.52.104
2018-04-23 10:27:03	54d2f602c1d7f359f70a72cb2cf37e7f:o9JxcioWyT9Axwm7fluNfkh7waNRhl5Y	Q1:四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.170
2018-04-23 10:27:36	c8b2f05eba994e877190c8c84bb72eea:wkqfrlEFZC0I72KoiNzfUwMp8hP6yUMN	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.195
2018-04-23 10:28:18	7c4fad6c8941c769d56ed84ea61e2341:ptSLsAr1ZypvLbczEi5RRpsupJ9vXoxj	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	180.217.88.147
2018-04-23 10:29:47	698d51846212c30340ae14bce19dfec4:79UvkM9TQLWoakftPtN801mIhmf3XLY9	Q1:軍人公墓景觀活化,四分溪生態復育景觀改善計畫-銀髮健康公園	,南港區公用WIFI增設	,;	172.28.48.209
