2018-04-26 09:06:34	c4f4e22f87ecbf0c14ae40f4e6939fca:JXXoNXJLZKt8wDlJUeQXP1UcELQ0qJx3	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:06:44	d18e6ddc2a432da4ce963b6a09466349:jNgtM4vXeX8cauTvyfmo7vkmaQFqjGu2	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:06:56	f49c73ce100e48dc1deb44fe1bf85e2f:fooMvnbHVbEji53Lw36yEqjm3iXfk4SQ	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.141
2018-04-26 09:06:56	fe3d7f42aa06b4f106502a14dff2a138:4OgEv4PMUzEUQrUCyo7uJawNgF0NQoyn	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.143
2018-04-26 09:07:22	c159448eb47e68e9ba790a3c99ae0593:pyy8bd0T65mQlXrGf6TimwIyunZ39VVm	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:07:59	e40fb39d13bc45746f4a78ea732078d3:FSM2RkpEYkDJjWZ6dKNK0HE92AAWWXKz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:08:11	c03b4da2600b744616e9236ce7eee32e:gjxGHh6Bq618BzOB00AZSIE3FVco7aYa	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.150
2018-04-26 09:08:46	f02ab57c94a7ce4c284c59d6d917a84e:ZLPR63Ue3mmn7EdG7Gm9nsglwfhlEyqj	Q1:活化青年公園,艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:09:35	59dc6e9e5323f545f152931b9cad7181:uUbMQwWNVhrsAjYCWR3Wa0twfM69xH9a	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	172.29.16.144
2018-04-26 09:10:08	1361d7e9ac65fb217d719f28412df891:Yff3a7uCfZC5kBa3orQiAWQOtjVbQZWI	Q1:艋舺服飾商圈	,彩繪桂林水門入口意象	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	103.31.196.193
