2018-04-21 12:45:02	c1d7a8c136fbcb220f45f13032aee0a7:Peihhlq2sMCdSgImISJFeKqFVguiV2IK	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:45:07	379d04ce5eac35580559de087d6d9963:hVQueMTiEKGHECsMxcgd93gZZCqfvR0M	Q1:綠屋頂改造－從市政府做起	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興豐熊讚親子主題公園改造計畫	,;	1.169.29.9
2018-04-21 12:46:02	d7f78fdab635c0c622c012c860ebebf2:fii5Q1wFxhF157yvjQZi4MCG8VtaeGLV	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	110.26.128.102
2018-04-21 12:46:22	266616c97fd44a4d90c18f075caf3c05:ptQOnYipqidPCaawiJInjQdP0gZAzYnv	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:47:36	7f3e1101fb242ac0726848fbc0e0a309:OgaHbx8HdwsgunLkzeFx5JTgxml4dzlv	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:50:09	9c1cfc5238cb3f274dbbaa534be00ac9:VJlEutQRUE70yrPQiiTCYOLWKvkGMioj	Q1:閃亮文山．越夜越美麗	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,;	223.139.59.12
2018-04-21 12:50:44	eb0bf198116ab3db77d67a6ea9c97b39:LpV9OiLxQHXt96RbKRSwcyutegk6yZXE	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 12:52:13	33aac24f73f8b69674ed50651a07a197:eTYigehklhZqASPMQxULqG6uiMA6Ne45	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.23.94
2018-04-21 13:17:11	d9d910591d892282157b3c823ea72432:mArVHPNARGaUEFhF7LJCvPJxbnZCR6gI	Q1:閃亮文山．越夜越美麗	,綠屋頂改造－從市政府做起	,呂祖風華再現（指南宮）	,景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	27.52.163.20
2018-04-21 13:24:27	0719181531abc1c5e6ae8ce11b845a35:eIj2TOMalOWkH7mo5m2PqZqXPxeMxcyH	Q1:景美一定行	,動出專注力，玩出好能力（景行、萬慶公園改造）,興隆市場增掛電梯以便民案	,興豐熊讚親子主題公園改造計畫	,;	223.136.224.65
