2018-04-28 13:53:01	1062e0df4f3f6fa7db13a0e36d1d3c65:QOxadfFJc0T2nAWLiqAnO1Wzb5f0eH8T	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:53:52	256f514d0f9c31ca85ff3441aad3386b:uJOHCDPIIRjRyKaDoXaZDDwo9zdt4nW1	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:54:30	9bcee31724ba952ca2dea6fa5a55669e:jlofQaZaq7EVhjlWF86Q7GRHmtwB4ifN	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:56:29	936f20a516172d317b17e2510b34023a:EgVkrIZNcZyY2M0tZuM7ugNCpU6KTyWd	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:57:29	c9099b39a755d9300bb28e7263bb8077:NhjGUgewldflObD4Y3QTWgDZvUEyJr0I	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:58:15	44f9bbaf4b392c7da9432915f51306e0:WDH4gqiErZtwojjkH5dcGCUGDnpv8oqp	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 13:59:54	e92d08b4f999bebba932a875cb79908f:PqDNl4veMpo2UYrNU59r8GqL7zFPsbQ5	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 14:00:29	97005d596532e38459bc7570477b3ea3:ikPOX49LT3QwEJpno95YvGDg1WfUFcu2	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
2018-04-28 14:01:43	ca81541f34caf32a347d759145f2a1da:ulxNiTKBS6SEaQVse6lGXQZYlsAKncqL	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,住好住滿	,;	172.29.8.151
2018-04-28 14:02:33	df43f5e5c5cb80372eedbb42cbebf660:GCmvNJZQG6H7PMrh5RZCfpadkGTtXE3p	Q1:百年觀光新店溪河道再造	,人化交通，樂活中正	,友善圖書館-幸福餐桌，暢所欲語-功能小間	,住好住滿	,;	172.29.8.151
